"Abréviations","Désignation"
"CEDEAO","Communauté Economique des Etats 
de l'Afrique de l'Ouest"
"CeReB","Centre des Ressources Biologiques"
"CHU","Centre Hospitalier Universitaire"
"CSS","Cascading Style Sheets"
"EPIC","Etablissement Public à caractère 
Industriel et Commercial"
"HTML","HyperText Markup Language"
"IPCI","Institut Pasteur Cote d’Ivoire"
"IUTEA","Institution Université Technologique 
des Eudistes d’Afrique"
"JSON","JavaScript Object Notation"
"MERISE","Méthode d’Etude et de Réalisation 
Informatique par Sous-Ensembles"
"MVC","Model – View – Controller"
"OMT","Object Modeling Technique"
"OOD","Object Oriented Design"
"OOSE","Object Oriented Software Engineering"
"PFBM","Plateforme de Biologie Moléculaire"
"RIIP","Réseau International des Instituts 
Pasteur"
